Individual,Strain,Group,Day,Accession
G5BD6,LH115,pfoA+,Day 6,PRJNA755974
G5CD0,LH115,pfoA+,Day 0,PRJNA755974
G5CD2,LH115,pfoA+,Day 2,PRJNA755974
G5CD6,LH115,pfoA+,Day 6,PRJNA755974
G5DD0,LH115,pfoA+,Day 0,PRJNA755974
G5DD2,LH115,pfoA+,Day 2,PRJNA755974
G5DD6,LH115,pfoA+,Day 6,PRJNA755974
G5ED0,LH115,pfoA+,Day 0,PRJNA755974
G5ED2,LH115,pfoA+,Day 2,PRJNA755974
G5ED6,LH115,pfoA+,Day 6,PRJNA755974
G6AD0,IQ147,pfoA-,Day 0,PRJNA755974
G6AD2,IQ147,pfoA-,Day 2,PRJNA755974
G6AD6,IQ147,pfoA-,Day 6,PRJNA755974
G6BD0,IQ147,pfoA-,Day 0,PRJNA755974
G6BD2,IQ147,pfoA-,Day 2,PRJNA755974
G6BD6,IQ147,pfoA-,Day 6,PRJNA755974
G6DD0,IQ147,pfoA-,Day 0,PRJNA755974
G6DD2,IQ147,pfoA-,Day 2,PRJNA755974
G6DD6,IQ147,pfoA-,Day 6,PRJNA755974
G6ED0,IQ147,pfoA-,Day 0,PRJNA755974
G6ED2,IQ147,pfoA-,Day 2,PRJNA755974
G6ED6,IQ147,pfoA-,Day 6,PRJNA755974
G7AD0,IQ133,pfoA-,Day 0,PRJNA755974
G7AD2,IQ133,pfoA-,Day 2,PRJNA755974
G7AD6,IQ133,pfoA-,Day 6,PRJNA755974
G7BD0,IQ133,pfoA-,Day 0,PRJNA755974
G7BD2,IQ133,pfoA-,Day 2,PRJNA755974
G7BD6,IQ133,pfoA-,Day 6,PRJNA755974
G7CD0,IQ133,pfoA-,Day 0,PRJNA755974
G7CD2,IQ133,pfoA-,Day 2,PRJNA755974
G7CD6,IQ133,pfoA-,Day 6,PRJNA755974
G7DD0,IQ133,pfoA-,Day 0,PRJNA755974
G7DD2,IQ133,pfoA-,Day 2,PRJNA755974
G7DD6,IQ133,pfoA-,Day 6,PRJNA755974
G7ED0,IQ133,pfoA-,Day 0,PRJNA755974
G7ED2,IQ133,pfoA-,Day 2,PRJNA755974
G7ED6,IQ133,pfoA-,Day 6,PRJNA755974
G8AD0,LH043,pfoA-,Day 0,PRJNA755974
G8AD2,LH043,pfoA-,Day 2,PRJNA755974
G8AD6,LH043,pfoA-,Day 6,PRJNA755974
G8BD0,LH043,pfoA-,Day 0,PRJNA755974
G8BD2,LH043,pfoA-,Day 2,PRJNA755974
G8BD6,LH043,pfoA-,Day 6,PRJNA755974
G8CD0,LH043,pfoA-,Day 0,PRJNA755974
G8CD2,LH043,pfoA-,Day 2,PRJNA755974
G8CD6,LH043,pfoA-,Day 6,PRJNA755974
G8DD0,LH043,pfoA-,Day 0,PRJNA755974
G8DD2,LH043,pfoA-,Day 2,PRJNA755974
G8DD6,LH043,pfoA-,Day 6,PRJNA755974
G8ED0,LH043,pfoA-,Day 0,PRJNA755974
G8ED2,LH043,pfoA-,Day 2,PRJNA755974
G8ED6,LH043,pfoA-,Day 6,PRJNA755974
