Time,Group,PFO,CFU
Day 7,LH115,pfoA+,1
Day 7,IQ147,pfoA-,28200
Day 7,IQ147,pfoA-,1
Day 7,IQ147,pfoA-,1
Day 7,IQ147,pfoA-,1000
Day 7,IQ147,pfoA-,1
Day 7,IQ133,pfoA-,1
Day 7,IQ133,pfoA-,1
Day 7,IQ133,pfoA-,1
Day 7,IQ133,pfoA-,1
Day 7,IQ133,pfoA-,1
Day 7,LH043,pfoA-,1
Day 7,LH043,pfoA-,1
Day 7,LH043,pfoA-,1
Day 7,LH043,pfoA-,1
Day 7,LH043,pfoA-,1
