Strain,Lineage,Group,Perc
LHN006,III,pfoA+,6.665634917
LH057,VII,pfoA+,31.98382993
LH057,VII,pfoA+,38.08969781
LH057,VII,pfoA+,38.45362371
LH057,VII,pfoA+,29.50806326
LH057,VII,pfoA+,13.066821
LH057,VII,pfoA+,8.093611819
LH101,VII,pfoA+,37.75518006
LH101,VII,pfoA+,37.92060093
LH101,VII,pfoA+,41.49369158
LH101,VII,pfoA+,8.416142121
LH101,VII,pfoA+,14.55722312
LH101,VII,pfoA+,8.686651407
IQ192,VII,pfoA+,38.70359301
IQ192,VII,pfoA+,34.87318101
IQ192,VII,pfoA+,34.26663785
IQ192,VII,pfoA+,13.5428133
IQ192,VII,pfoA+,10.41895126
IQ192,VII,pfoA+,12.53620663
IQ037,VI,pfoA-,-0.831993424
IQ037,VI,pfoA-,-0.975358173
IQ037,VI,pfoA-,-0.754797021
IQ037,VI,pfoA-,0.222832024
IQ037,VI,pfoA-,-0.16992665
IQ037,VI,pfoA-,0.142199449
LH111,V,pfoA-,0.634738234
LH111,V,pfoA-,0.502401543
LH111,V,pfoA-,2.439663659
LH111,V,pfoA-,0.891302086
LH111,V,pfoA-,0.99794517
LH111,V,pfoA-,1.762654112
IQ056,V,pfoA-,1.153056941
IQ056,V,pfoA-,2.322031045
IQ056,V,pfoA-,1.630939436
IQ056,V,pfoA-,1.590984758
IQ056,V,pfoA-,0.355485616
IQ056,V,pfoA-,1.700228892
IQ041,V,pfoA-,-0.986386231
IQ041,V,pfoA-,-0.151929873
IQ041,V,pfoA-,0.050251182
IQ041,V,pfoA-,1.715835197
IQ041,V,pfoA-,-0.01126255
IQ041,V,pfoA-,0.391900328
IQ190,V,pfoA-,1.164084998
IQ190,V,pfoA-,2.329383083
IQ190,V,pfoA-,2.285270853
IQ190,V,pfoA-,1.679420486
IQ190,V,pfoA-,1.229438693
IQ190,V,pfoA-,2.06957811
IQ175,V,pfoA-,0.529934603
IQ175,V,pfoA-,1.321205333
IQ175,V,pfoA-,1.06467464
IQ175,V,pfoA-,1.057769339
IQ175,V,pfoA-,0.160406804
IQ175,V,pfoA-,1.247646049
IQ106,I,pfoA+,17.68858619
IQ106,I,pfoA+,18.04628392
IQ106,I,pfoA+,17.73194349
IQ106,I,pfoA+,3.308566897
IQ106,I,pfoA+,5.56714896
IQ106,I,pfoA+,7.197128896
ATCC13124,VII,pfoA+,45.45532392
ATCC13124,VII,pfoA+,42.26856234
ATCC13124,VII,pfoA+,51.48198865
ATCC13124,VII,pfoA+,50.61818634
ATCC13124,VII,pfoA+,52.97178965
ATCC13124,VII,pfoA+,46.16315149
IQ205,V,pfoA-,-1.052606858
IQ205,V,pfoA-,-0.666004263
IQ205,V,pfoA-,0.327600535
IQ205,V,pfoA-,0.220376211
IQ205,V,pfoA-,0.169210922
IQ205,V,pfoA-,0.337325444
IQ005,I,pfoA+,18.21971312
IQ005,I,pfoA+,15.17747588
IQ005,I,pfoA+,17.61993713
IQ005,I,pfoA+,7.93537093
IQ005,I,pfoA+,10.93219503
IQ005,I,pfoA+,5.621968913
IQ058,V,pfoA-,-0.395021137
IQ058,V,pfoA-,-0.069841385
IQ058,V,pfoA-,1.071900856
IQ058,V,pfoA-,0.739338433
IQ058,V,pfoA-,0.856287666
IQ058,V,pfoA-,1.225408683
IQ014,VIII,pfoA-,-0.069841385
IQ014,VIII,pfoA-,-0.391408028
IQ014,VIII,pfoA-,0.060230516
IQ014,VIII,pfoA-,0.165556258
IQ014,VIII,pfoA-,0.041297698
IQ014,VIII,pfoA-,0.490821313
IQ109,V,pfoA-,0.248112151
IQ109,V,pfoA-,-0.315532753
IQ109,V,pfoA-,1.603027785
IQ109,V,pfoA-,0.585842564
IQ109,V,pfoA-,0.472547995
IQ109,V,pfoA-,0.900143628
Untreated,Untreated,Untreated,-1.417530802
Untreated,Untreated,Untreated,-0.185460852
Untreated,Untreated,Untreated,2.061892546
Untreated,Untreated,Untreated,0.330016117
Untreated,Untreated,Untreated,-0.207219422
Untreated,Untreated,Untreated,-0.11219817
